Key,samples_per_second
calories,0.00508993255058706
dynamic,0.00014185355309375845
heart_rate,0.013910368337906376
intensity,0.00027660635741169
pai,1.1574074074074073e-05
resting_heart_rate,1.1574074074074073e-05
single_heart_rate,6.195439566437238e-05
single_spo2,0.0012849269338150355
single_stress,3.768011093024658e-06
steps,0.004875510034141061
stress,0.0008022192232718548
training_load,1.1574074074074073e-05
valid_stand,0.00012626262626262626
vo2_max,
watch_night_sleep,1.1574074074074073e-05
weight,
